#KEY	featureCounts on dataset 100 and 121: Counts_2	featureCounts on dataset 100 and 118: Counts_2	featureCounts on dataset 100 and 115: Counts_2	featureCounts on dataset 100 and 109: Counts_2	featureCounts on dataset 100 and 112: Counts_2	featureCounts on dataset 100 and 106: Counts_2
ENSG00000153086.16	49	23	62	28	41	91
ENSG00000153093.23	21	31	52	17	33	40
ENSG00000153094.27	1033	971	1486	926	1076	1254
ENSG00000153107.15	1761	1715	2255	1460	1385	1547
ENSG00000153113.25	178	75	214	120	96	108
ENSG00000153130.20	836	1102	1024	407	541	408
ENSG00000153132.15	68	123	37	16	55	41
ENSG00000153140.11	391	457	461	175	257	209
ENSG00000153147.8	3108	3310	4056	1833	2800	1745
ENSG00000153157.15	26	48	59	21	43	60
ENSG00000153162.11	264	122	235	315	298	257
ENSG00000153165.19	29	17	39	11	6	11
ENSG00000153179.17	556	627	802	418	537	623
ENSG00000153187.23	7585	6801	9913	6222	7009	6265
ENSG00000153201.19	7390	6403	8798	4820	6070	5579
ENSG00000153207.18	2560	2217	3652	1884	2101	1758
ENSG00000153208.21	901	857	1167	823	814	947
ENSG00000153214.13	1357	1722	1886	773	1250	874
ENSG00000153230.4	3	0	9	3	2	2
ENSG00000153233.14	11	10	18	1	11	2
ENSG00000153234.18	290	155	317	1177	290	272
ENSG00000153237.21	233	241	420	87	178	228
ENSG00000153246.15	9998	4945	9695	6637	5329	3701
ENSG00000153250.23	1929	1931	2856	1162	2185	2148
ENSG00000153253.21	194	260	251	185	374	369
ENSG00000153266.15	15	15	1	9	0	4
ENSG00000153283.16	195	78	212	142	215	133
ENSG00000153291.17	1484	1138	1702	872	971	1214
ENSG00000153292.18	107	58	62	17	64	34
ENSG00000153294.14	0	0	0	1	6	0
ENSG00000153303.18	31	1	20	58	48	29
ENSG00000153310.24	1238	1242	1910	907	1028	992
ENSG00000153317.17	1401	1253	2575	999	1848	2156
ENSG00000153339.17	2124	2100	2647	1171	1622	1085
ENSG00000153347.10	18	71	104	5	11	9
ENSG00000153363.16	179	235	237	132	231	359
ENSG00000153391.18	101	93	172	106	99	138
ENSG00000153395.13	91	221	152	84	130	161
ENSG00000153404.17	614	685	631	726	678	780
ENSG00000153406.16	258	457	302	269	305	379
ENSG00000153443.15	98	134	149	182	248	290
ENSG00000153446.18	342	650	254	199	745	606
ENSG00000153485.8	3	1	4	1	0	1
ENSG00000153487.15	346	508	581	460	547	626
ENSG00000153495.13	37	26	22	20	27	42
ENSG00000153498.13	0	0	0	0	0	0
ENSG00000153531.16	105	189	147	116	124	197
ENSG00000153551.16	588	526	546	611	413	505
ENSG00000153558.19	553	774	874	385	498	771
ENSG00000153560.14	1622	2339	2866	1127	1969	3265
ENSG00000153561.15	2369	3222	2777	1351	1663	1664
ENSG00000153563.18	169	152	164	174	216	207
ENSG00000153574.11	266	364	392	240	166	227
ENSG00000153684.16	0	0	0	0	0	0
ENSG00000153707.21	347	285	454	181	573	644
ENSG00000153714.7	570	651	555	261	588	361
ENSG00000153721.21	609	395	654	323	483	459
ENSG00000153767.12	409	476	542	305	423	521
ENSG00000153774.11	356	432	509	318	391	564
ENSG00000153779.11	0	0	0	0	0	0
ENSG00000153786.15	1124	1678	1720	875	1332	1853
ENSG00000153789.15	4	2	0	3	0	2
ENSG00000153790.13	88	53	174	66	129	122
ENSG00000153802.12	222	51	110	39	160	79
ENSG00000153814.15	546	557	921	346	467	304
ENSG00000153815.19	594	673	1460	856	1036	1962
ENSG00000153820.14	545	384	620	580	351	125
ENSG00000153822.17	186	212	240	127	233	151
ENSG00000153823.21	768	514	609	1120	686	401
ENSG00000153827.17	7646	7298	10301	5201	6689	7110
ENSG00000153832.14	179	248	229	133	175	329
ENSG00000153879.11	579	866	778	589	502	608
ENSG00000153885.17	520	1263	1142	620	701	1028
ENSG00000153896.20	303	326	401	205	239	323
ENSG00000153898.15	148	102	192	97	29	121
ENSG00000153902.16	137	243	194	173	193	269
ENSG00000153904.22	1079	1067	1075	648	1178	903
ENSG00000153914.18	3000	2913	3988	1707	2673	2941
ENSG00000153922.14	2701	2608	4088	1775	2317	1711
ENSG00000153923.11	0	0	0	0	0	0
ENSG00000153930.13	149	329	358	55	608	743
ENSG00000153933.12	720	699	1139	545	502	582
ENSG00000153936.19	788	963	1208	322	496	333
ENSG00000153944.14	2327	2799	3058	1456	2790	3090
ENSG00000153956.19	753	739	1728	581	965	1109
ENSG00000153975.12	212	334	359	143	158	149
ENSG00000153976.4	41	37	77	29	22	22
ENSG00000153982.11	83	107	161	43	91	95
ENSG00000153989.10	804	566	1136	525	603	433
ENSG00000153993.16	529	273	436	377	438	162
ENSG00000154001.16	1402	1112	1914	881	1246	979
ENSG00000154007.8	0	2	0	1	0	0
ENSG00000154016.16	9	31	32	13	16	25
ENSG00000154025.18	12	18	33	17	13	31
ENSG00000154027.20	679	1661	2936	1169	1406	1860
ENSG00000154040.23	190	186	415	128	177	296
ENSG00000154059.13	1167	1454	1332	725	905	788
ENSG00000154065.19	403	437	863	301	268	458
ENSG00000154079.7	261	343	247	240	291	301
ENSG00000154080.16	853	301	686	792	346	242
ENSG00000154096.16	447	2032	1187	160	1306	1169
ENSG00000154099.20	34	113	105	32	110	203
ENSG00000154102.12	98	105	89	87	63	95
ENSG00000154114.15	1052	913	1413	441	733	539
ENSG00000154118.14	25	36	39	48	38	34
ENSG00000154122.16	1327	1496	2322	1061	1667	2030
ENSG00000154124.9	1179	1079	1885	822	1076	1296
ENSG00000154127.11	163	280	346	178	188	223
ENSG00000154133.17	288	390	770	481	571	780
ENSG00000154134.16	282	548	413	365	365	553
ENSG00000154143.3	0	1	3	0	3	0
ENSG00000154144.15	1021	1139	1427	845	1074	1502
ENSG00000154146.15	28	61	85	50	58	182
ENSG00000154153.16	367	452	422	297	278	318
ENSG00000154162.17	40	151	131	35	67	29
ENSG00000154165.5	96	24	33	99	55	23
ENSG00000154174.10	2404	2732	2812	1387	1753	1293
ENSG00000154175.21	2341	1156	3098	1401	3051	2247
ENSG00000154188.12	364	343	325	284	351	243
ENSG00000154198.15	6	0	0	9	0	1
ENSG00000154217.17	345	385	392	307	401	413
ENSG00000154222.17	988	1473	1466	1209	1197	1719
ENSG00000154227.14	31	63	63	19	46	45
ENSG00000154229.14	546	651	740	513	845	1093
ENSG00000154237.14	937	873	1121	888	1038	1009
ENSG00000154240.20	599	712	1196	577	740	932
ENSG00000154252.13	0	0	0	0	0	0
ENSG00000154258.18	2974	1915	3054	2040	2122	1341
ENSG00000154262.15	8805	3750	8660	4434	5715	2996
ENSG00000154263.19	4916	1825	4321	2062	2176	1081
ENSG00000154265.18	4576	2706	4732	1944	2225	1609
ENSG00000154269.17	120	499	232	56	125	100
ENSG00000154274.17	294	171	364	170	286	167
ENSG00000154277.15	51	110	73	50	110	60
ENSG00000154305.20	2965	2951	3299	1894	3258	3675
ENSG00000154309.11	627	713	910	444	637	681
ENSG00000154310.19	809	814	1582	577	927	1152
ENSG00000154316.17	0	0	0	0	0	0
ENSG00000154319.18	67	74	102	88	106	87
ENSG00000154328.18	202	356	243	243	271	356
ENSG00000154330.15	664	828	922	855	595	1124
ENSG00000154342.8	5	6	6	12	4	9
ENSG00000154358.24	3457	5928	5680	3797	3628	5117
ENSG00000154359.15	984	1672	1148	967	908	808
ENSG00000154370.18	416	709	472	366	535	777
ENSG00000154380.21	2683	4486	4265	1866	3067	3275
ENSG00000154415.9	0	0	0	0	0	0
ENSG00000154429.12	919	667	1007	595	551	570
ENSG00000154438.8	3	0	6	0	1	0
ENSG00000154447.17	1197	1261	1665	882	1524	1973
ENSG00000154451.17	216	174	354	237	262	296
ENSG00000154473.20	1805	2741	2193	1237	1332	1581
ENSG00000154478.4	30	17	53	17	38	28
ENSG00000154479.14	115	150	144	142	111	107
ENSG00000154485.6	61	62	92	62	55	73
ENSG00000154493.21	446	156	259	254	230	113
ENSG00000154511.14	540	507	717	352	428	461
ENSG00000154518.12	790	1292	738	495	655	518
ENSG00000154529.17	245	399	586	273	339	423
ENSG00000154545.19	0	0	0	0	1	0
ENSG00000154548.11	158	123	282	101	133	156
ENSG00000154553.18	1969	997	844	3464	1660	1731
ENSG00000154556.22	3898	2237	4198	3176	3388	3439
ENSG00000154582.20	465	636	666	404	446	480
ENSG00000154589.9	197	310	354	64	108	73
ENSG00000154608.14	45	56	50	20	78	34
ENSG00000154611.16	1	0	0	2	4	1
ENSG00000154620.7	0	0	0	0	0	0
ENSG00000154639.21	1319	731	987	669	863	653
ENSG00000154640.17	125	124	159	128	117	120
ENSG00000154642.13	758	655	993	510	573	416
ENSG00000154645.15	49	37	46	29	34	24
ENSG00000154646.9	4	1	0	0	0	0
ENSG00000154654.16	159	348	326	198	411	430
ENSG00000154655.18	873	751	1039	835	523	638
ENSG00000154678.20	1938	1865	3253	1378	1359	1493
ENSG00000154710.20	303	359	499	294	313	384
ENSG00000154719.16	540	566	574	282	364	370
ENSG00000154721.17	701	1192	1702	408	1260	1036
ENSG00000154723.15	1001	1077	1171	547	1144	840
ENSG00000154727.13	1937	1799	2472	992	1527	1516
ENSG00000154734.18	1519	1560	1514	3009	1405	1147
ENSG00000154736.8	3276	2589	4676	2560	3393	2370
ENSG00000154743.21	547	529	707	547	516	695
ENSG00000154760.16	762	445	987	660	733	1144
ENSG00000154764.7	2	0	4	0	0	0
ENSG00000154767.18	1373	1825	2017	1312	1612	2834
ENSG00000154781.18	513	726	893	534	706	858
ENSG00000154783.14	496	659	1164	700	673	1263
ENSG00000154803.15	884	1465	1276	1007	1074	1451
ENSG00000154813.12	273	331	408	214	274	215
ENSG00000154814.16	956	713	1323	874	885	1144
ENSG00000154822.20	772	1280	996	526	636	641
ENSG00000154832.18	608	1301	886	629	962	1320
ENSG00000154839.12	2	9	11	3	4	0
ENSG00000154845.18	1627	2174	2312	1343	1684	2491
ENSG00000154856.14	1202	1055	793	1210	828	588
ENSG00000154864.15	1669	852	817	589	1859	1006
ENSG00000154874.18	3	1	6	2	0	2
ENSG00000154889.19	452	696	513	309	350	507
ENSG00000154898.18	67	144	171	20	62	20
ENSG00000154914.19	217	301	193	169	150	183
ENSG00000154917.13	338	282	305	281	228	336
ENSG00000154920.17	27	58	57	62	36	56
ENSG00000154928.21	245	169	424	400	296	552
ENSG00000154930.17	849	757	818	719	907	900
ENSG00000154945.9	966	1176	1359	902	1322	1379
ENSG00000154957.15	278	360	443	195	256	309
ENSG00000154975.16	2	0	3	1	3	0
ENSG00000154978.15	544	806	829	497	622	817
ENSG00000154997.9	0	0	0	0	0	0
ENSG00000155008.18	626	656	720	361	599	435
ENSG00000155011.10	113	493	213	88	175	128
ENSG00000155016.20	557	526	508	415	438	360
ENSG00000155026.19	4	6	9	6	7	2
ENSG00000155034.23	161	241	242	193	248	277
ENSG00000155052.15	2	3	0	0	0	0
ENSG00000155066.18	697	1687	1238	673	1096	1284
ENSG00000155070.8	0	0	0	0	1	1
ENSG00000155085.17	445	371	631	235	466	417
ENSG00000155087.4	0	0	0	0	0	0
ENSG00000155090.17	885	1558	1336	1333	1447	1403
ENSG00000155093.21	138	200	168	130	177	176
ENSG00000155096.16	2921	3728	3550	1807	1893	1505
ENSG00000155097.14	1732	1531	2336	940	1541	1224
ENSG00000155099.10	300	325	504	236	402	450
ENSG00000155100.13	293	265	460	173	175	195
ENSG00000155111.17	1116	1297	1568	574	1153	1082
ENSG00000155115.9	203	421	312	166	229	184
ENSG00000155158.22	736	723	1024	534	658	652
ENSG00000155189.14	632	953	1112	477	493	575
ENSG00000155229.23	1903	2556	2426	1628	1700	2439
ENSG00000155249.5	0	0	0	0	0	0
ENSG00000155252.16	31	50	40	42	34	40
ENSG00000155254.14	597	1500	1175	682	1211	895
ENSG00000155256.20	692	1100	1008	584	619	820
ENSG00000155265.14	70	136	140	95	87	50
ENSG00000155269.12	2	0	0	1	0	1
ENSG00000155275.21	588	627	767	602	525	757
ENSG00000155287.14	606	941	859	737	682	1042
ENSG00000155304.8	739	730	732	342	447	357
ENSG00000155307.21	175	154	308	122	178	108
ENSG00000155313.18	2853	2510	4177	1865	2909	3125
ENSG00000155324.12	2267	3249	4201	1592	2263	2858
ENSG00000155329.14	190	246	233	103	182	127
ENSG00000155330.11	187	239	325	144	172	211
ENSG00000155363.21	1054	1706	1758	952	1430	1996
ENSG00000155366.19	108	272	242	151	155	239
ENSG00000155367.18	44	103	75	39	62	90
ENSG00000155368.20	2007	1958	918	1211	1496	1019
ENSG00000155380.15	476	824	905	361	316	357
ENSG00000155393.16	346	485	520	308	312	344
ENSG00000155428.13	10	12	13	9	3	14
ENSG00000155438.14	530	701	675	356	303	355
ENSG00000155463.16	1328	1896	1936	1463	1662	1984
ENSG00000155465.23	89	148	96	64	49	70
ENSG00000155495.10	0	0	2	0	0	0
ENSG00000155506.21	2129	2053	2912	2616	2920	3482
ENSG00000155508.16	1260	1506	1553	841	845	828
ENSG00000155511.20	132	247	55	98	105	52
ENSG00000155530.5	184	122	255	60	155	187
ENSG00000155542.14	57	125	131	48	48	15
ENSG00000155545.22	789	1079	1194	527	625	438
ENSG00000155561.17	1811	2020	2402	1475	1355	1509
ENSG00000155592.18	281	278	353	313	336	400
ENSG00000155621.17	425	478	495	271	347	382
ENSG00000155622.9	2	0	0	0	0	1
ENSG00000155629.17	487	532	832	262	447	368
ENSG00000155636.18	520	679	736	296	447	531
ENSG00000155657.30	9002	4469	12718	6644	6144	4720
ENSG00000155659.17	556	560	607	272	594	487
ENSG00000155660.13	1892	3910	2163	1718	2519	3023
ENSG00000155666.14	108	197	195	136	147	235
ENSG00000155714.14	0	3	2	2	2	2
ENSG00000155719.19	6	15	24	12	8	13
ENSG00000155729.15	682	932	775	369	628	528
ENSG00000155744.12	1468	1099	1778	1065	1267	1322
ENSG00000155749.14	87	79	122	66	81	108
ENSG00000155754.17	151	216	300	146	158	167
ENSG00000155755.21	1215	2082	1860	865	1204	1380
ENSG00000155760.3	2192	3102	1877	1662	2086	1788
ENSG00000155761.15	371	182	204	62	189	302
ENSG00000155792.12	1454	2018	1467	1181	1356	1189
ENSG00000155816.22	89	144	181	18	121	79
ENSG00000155827.14	1264	1773	1627	990	1266	1622
ENSG00000155833.16	1	0	3	0	0	0
ENSG00000155846.19	441	252	510	356	312	440
ENSG00000155849.18	730	610	1330	909	732	1039
ENSG00000155850.11	2553	1336	1586	1483	739	752
ENSG00000155858.7	307	383	340	199	244	228
ENSG00000155868.10	489	760	609	386	447	511
ENSG00000155875.16	46	34	54	18	55	66
ENSG00000155876.6	613	1091	754	625	686	707
ENSG00000155886.14	49	14	111	11	71	251
ENSG00000155890.4	1	0	0	4	0	1
ENSG00000155893.15	592	883	810	319	622	942
ENSG00000155897.12	4	3	0	3	4	14
ENSG00000155903.16	2224	1598	2932	1173	1430	988
ENSG00000155906.22	813	1311	1282	480	885	1243
ENSG00000155918.9	0	0	1	1	0	0
ENSG00000155926.16	300	256	395	300	335	206
ENSG00000155957.20	298	268	478	228	286	459
ENSG00000155959.14	414	541	537	169	238	155
ENSG00000155961.6	50	115	66	12	47	42
ENSG00000155962.15	770	849	933	424	539	520
ENSG00000155966.15	110	131	175	59	219	124
ENSG00000155970.15	523	428	719	272	321	213
ENSG00000155974.15	278	479	407	178	246	313
ENSG00000155975.12	1074	1035	1394	756	958	875
ENSG00000155980.15	82	246	188	43	133	218
ENSG00000156006.7	3	7	15	2	2	9
ENSG00000156009.11	9	5	2	7	10	11
ENSG00000156011.20	2057	3386	3623	1075	2048	3103
ENSG00000156017.15	665	686	945	383	511	547
ENSG00000156026.17	570	795	882	399	682	899
ENSG00000156030.16	1516	1536	1929	1800	2486	3001
ENSG00000156042.20	449	448	729	243	355	577
ENSG00000156049.8	116	182	171	100	109	169
ENSG00000156050.11	389	479	515	307	510	962
ENSG00000156052.13	3362	3331	4638	2094	3408	2792
ENSG00000156076.12	575	3336	719	83	393	700
ENSG00000156096.17	10	16	2	3	14	4
ENSG00000156097.13	5	5	11	7	8	23
ENSG00000156103.17	1925	2544	4446	525	2629	1234
ENSG00000156110.17	806	672	1209	506	555	602
ENSG00000156113.26	1261	1928	2084	911	1528	1823
ENSG00000156127.8	102	228	149	73	207	270
ENSG00000156136.12	307	396	428	183	216	172
ENSG00000156140.12	206	139	237	170	200	167
ENSG00000156150.10	3	3	4	3	6	8
ENSG00000156162.18	1586	1876	2013	785	1131	758
ENSG00000156170.16	218	361	393	179	286	418
ENSG00000156171.17	1517	1519	1821	618	1041	748
ENSG00000156172.8	203	329	349	182	258	314
ENSG00000156194.19	0	2	5	1	0	5
ENSG00000156206.14	16	28	11	28	10	16
ENSG00000156218.15	441	422	628	418	558	565
ENSG00000156219.20	27	27	22	15	9	25
ENSG00000156222.14	16	8	17	22	9	2
ENSG00000156232.9	418	379	590	466	525	656
ENSG00000156234.9	131	142	101	2	176	27
ENSG00000156239.14	893	1264	1336	639	906	778
ENSG00000156253.9	367	554	487	164	328	351
ENSG00000156256.17	1439	1466	1740	831	1070	825
ENSG00000156261.15	2169	2280	2007	1148	1878	1221
ENSG00000156265.19	169	115	155	41	246	280
ENSG00000156269.5	1	0	0	0	0	1
ENSG00000156273.18	1836	2668	3029	1054	1512	1412
ENSG00000156282.5	0	0	0	0	0	0
ENSG00000156284.6	894	523	541	838	472	227
ENSG00000156298.15	101	214	241	108	187	198
ENSG00000156299.17	406	480	614	330	486	544
ENSG00000156304.17	857	633	1257	802	1237	1416
ENSG00000156313.16	356	304	595	235	362	395
ENSG00000156345.20	177	346	261	202	197	325
ENSG00000156374.18	157	197	254	91	134	132
ENSG00000156381.11	444	560	436	457	457	757
ENSG00000156384.16	112	118	121	46	65	57
ENSG00000156395.14	1	12	3	2	0	0
ENSG00000156398.15	489	451	487	554	391	494
ENSG00000156411.12	663	1138	704	462	425	526
ENSG00000156413.16	78	43	52	114	78	10
ENSG00000156414.22	148	69	214	31	65	149
ENSG00000156427.10	8	8	4	6	8	31
ENSG00000156453.15	1086	1791	1930	1678	1912	3544
ENSG00000156463.20	855	483	751	606	724	753
ENSG00000156466.12	24	98	23	12	44	47
ENSG00000156467.12	2628	3791	3407	1550	2493	1415
ENSG00000156469.11	558	595	747	330	471	508
ENSG00000156471.15	1143	1887	1741	997	951	1201
ENSG00000156475.21	150	104	119	119	141	221
ENSG00000156482.13	6613	10107	5564	4465	4078	4018
ENSG00000156486.9	74	67	138	48	76	131
ENSG00000156500.18	132	151	261	104	154	189
ENSG00000156502.16	601	695	749	574	497	565
ENSG00000156504.19	431	291	682	284	341	290
ENSG00000156508.22	170295	290256	199451	149342	148368	163527
ENSG00000156509.15	11	19	6	7	14	7
ENSG00000156510.15	0	4	1	1	1	3
ENSG00000156515.27	1533	2756	2177	1494	1977	2718
ENSG00000156521.16	505	705	565	407	493	702
ENSG00000156531.20	1077	1153	1355	603	838	578
ENSG00000156535.16	946	1179	1924	364	835	909
ENSG00000156564.11	1	6	6	1	3	13
ENSG00000156574.11	32	36	58	55	39	49
ENSG00000156575.2	0	0	1	0	2	0
ENSG00000156587.17	528	1022	770	534	636	781
ENSG00000156599.14	1579	2095	2115	1617	1756	2380
ENSG00000156603.22	251	512	355	271	347	532
ENSG00000156639.14	870	1092	1479	854	1268	1438
ENSG00000156642.19	2053	3146	2519	1629	2293	2669
ENSG00000156650.16	2000	1847	3185	1724	2701	3310
ENSG00000156671.17	1386	1569	1970	890	1329	1237
ENSG00000156675.18	1182	2114	2296	1021	1063	1599
ENSG00000156687.12	20	73	81	0	44	31
ENSG00000156689.7	113	81	304	74	97	27
ENSG00000156697.15	358	492	454	345	470	475
ENSG00000156709.17	295	385	448	328	372	500
ENSG00000156711.19	711	950	868	737	839	1094
ENSG00000156735.13	710	805	935	407	576	552
ENSG00000156738.20	377	263	521	10	329	49
ENSG00000156755.10	0	0	0	0	0	0
ENSG00000156787.19	292	279	368	147	195	142
ENSG00000156795.10	172	248	241	113	143	208
ENSG00000156802.15	652	837	797	409	590	393
ENSG00000156804.9	7419	9168	7238	4814	5997	8013
ENSG00000156831.11	572	724	762	354	428	401
ENSG00000156853.15	328	556	471	210	316	420
ENSG00000156858.14	250	488	483	384	534	754
ENSG00000156860.17	661	857	1005	841	1202	1385
ENSG00000156869.16	594	1029	852	282	390	417
ENSG00000156873.18	318	468	412	339	320	463
ENSG00000156875.16	320	376	341	192	270	253
ENSG00000156876.11	271	287	408	168	226	132
ENSG00000156885.8	1	6	0	1	1	3
ENSG00000156886.13	6	30	32	3	10	21
ENSG00000156920.11	7	0	1	4	4	4
ENSG00000156925.14	0	0	1	1	2	2
ENSG00000156928.7	209	252	282	177	111	139
ENSG00000156931.19	1795	1937	2317	1021	1307	1456
ENSG00000156958.17	995	923	1276	643	821	950
ENSG00000156959.11	19	15	16	26	22	31
ENSG00000156966.9	81	121	100	78	103	163
ENSG00000156968.10	19	25	33	37	16	18
ENSG00000156970.15	23	103	71	49	54	32
ENSG00000156973.16	183	334	284	178	227	293
ENSG00000156976.19	8754	12255	9730	5363	6004	6483
ENSG00000156983.19	697	917	990	924	986	1521
ENSG00000156990.16	340	631	512	354	423	610
ENSG00000157005.5	0	4	1	0	0	1
ENSG00000157014.12	350	390	451	333	338	393
ENSG00000157017.18	100	79	112	92	103	86
ENSG00000157020.20	794	1390	1154	765	846	914
ENSG00000157021.9	4	5	1	2	1	2
ENSG00000157036.15	228	205	446	218	214	246
ENSG00000157045.10	383	619	503	318	489	525
ENSG00000157060.16	2	0	2	0	0	0
ENSG00000157064.13	110	136	187	145	202	204
ENSG00000157077.18	1698	1912	2171	1281	1384	1481
ENSG00000157087.21	29	15	28	10	36	19
ENSG00000157093.9	1	0	1	0	0	0
ENSG00000157103.14	24	37	90	54	79	147
ENSG00000157106.20	7689	5919	11761	5894	6738	8626
ENSG00000157107.16	2338	1585	3039	1199	1804	1707
ENSG00000157110.18	3159	1934	4272	3444	3125	4246
ENSG00000157111.15	0	1	5	5	4	5
ENSG00000157119.14	1	4	4	2	5	4
ENSG00000157131.14	0	2	0	0	0	1
ENSG00000157150.7	306	149	119	299	229	110
ENSG00000157152.18	169	303	492	122	287	384
ENSG00000157168.23	559	785	1858	715	732	1196
ENSG00000157181.18	1393	1357	1953	781	1120	875
ENSG00000157184.9	411	439	423	343	360	479
ENSG00000157191.22	768	1167	991	605	734	808
ENSG00000157193.20	77	122	150	112	100	78
ENSG00000157211.13	1	0	1	1	1	1
ENSG00000157212.22	433	592	802	460	562	766
ENSG00000157214.16	1452	1389	2092	826	1103	1522
ENSG00000157216.19	476	910	827	805	937	1251
ENSG00000157219.6	0	0	0	0	0	0
ENSG00000157224.18	873	930	1214	466	559	390
ENSG00000157227.16	3525	12255	7540	2123	7696	10920
ENSG00000157240.5	1987	4907	2864	909	1959	1864
ENSG00000157259.9	1562	2012	2448	1172	1441	2062
ENSG00000157303.13	132	575	180	223	164	275
ENSG00000157306.15	12	17	31	19	15	31
ENSG00000157315.7	25	29	66	21	43	30
ENSG00000157322.20	11	20	16	8	12	34
ENSG00000157326.21	106	306	178	145	158	204
ENSG00000157330.11	0	0	0	0	0	0
ENSG00000157335.23	0	1	4	3	1	2
ENSG00000157343.10	4	23	14	4	7	9
ENSG00000157349.19	457	611	562	408	500	719
ENSG00000157350.15	554	1255	1036	588	772	1201
ENSG00000157353.19	421	683	513	443	360	536
ENSG00000157368.14	373	669	330	425	411	504
ENSG00000157379.16	228	280	340	229	241	300
ENSG00000157388.21	814	736	865	298	961	1992
ENSG00000157399.19	72	227	156	75	108	186
ENSG00000157404.19	11263	3983	7639	11368	5268	2097
ENSG00000157423.19	260	225	371	83	179	335
ENSG00000157426.16	920	844	1084	485	488	424
ENSG00000157429.17	190	208	263	108	223	329
ENSG00000157445.18	121	77	136	199	67	122
ENSG00000157450.18	1042	864	1573	816	1227	1284
ENSG00000157456.10	103	148	141	54	97	108
ENSG00000157470.14	102	140	89	46	54	55
ENSG00000157483.11	1811	1991	2894	1177	1671	2610
ENSG00000157500.14	3077	3528	3998	2205	3020	3276
ENSG00000157502.15	90	521	183	39	173	114
ENSG00000157510.16	430	600	782	469	514	715
ENSG00000157514.20	2948	3193	1311	3973	2050	1614
ENSG00000157538.16	928	1253	1444	892	867	1193
ENSG00000157540.24	3884	4406	5138	2830	3743	4641
ENSG00000157542.13	1	6	22	0	2	15
ENSG00000157551.21	36	13	49	34	27	69
ENSG00000157554.22	574	747	1353	592	896	1636
ENSG00000157557.15	1728	2104	2520	2358	1696	2710
ENSG00000157570.14	207	270	456	277	339	585
ENSG00000157578.16	158	156	205	70	156	105
ENSG00000157593.21	640	1237	850	605	765	960
ENSG00000157600.15	781	1237	1236	849	947	1174
ENSG00000157601.17	910	1224	1537	826	813	1392
ENSG00000157613.13	80	155	339	90	288	327
ENSG00000157617.19	1404	1035	1333	1397	1572	1547
ENSG00000157625.18	711	837	1163	546	807	1119
ENSG00000157637.15	1920	2972	2268	1547	1915	2376
ENSG00000157653.14	40	41	63	33	29	62
ENSG00000157654.21	2511	2476	3912	2331	3380	4558
ENSG00000157657.17	683	858	1337	805	1137	1733
ENSG00000157680.18	97	155	171	49	194	114
ENSG00000157693.17	600	521	787	404	810	1192
ENSG00000157703.17	44	29	46	26	36	36
ENSG00000157734.16	173	827	350	155	394	435
ENSG00000157741.17	3124	2170	4558	1970	2639	3011
ENSG00000157764.16	2388	2057	4022	1966	2485	3132
ENSG00000157765.15	676	488	542	1046	503	433
ENSG00000157766.20	12	14	25	37	8	33
ENSG00000157778.11	208	370	297	191	189	325
ENSG00000157782.12	58	61	71	79	27	58
ENSG00000157796.20	1397	1697	1730	857	1226	1416
ENSG00000157800.20	969	1319	1262	696	865	935
ENSG00000157823.19	515	389	561	389	431	565
ENSG00000157827.23	1685	1517	2287	1220	1407	1118
ENSG00000157833.14	240	328	473	284	334	525
ENSG00000157837.18	802	799	1013	665	692	805
ENSG00000157851.19	3	2	2	0	3	0
ENSG00000157856.14	5	1	5	13	10	8
ENSG00000157869.18	1153	946	1703	700	945	788
ENSG00000157870.19	34	83	98	63	62	87
ENSG00000157873.20	265	509	379	230	292	347
ENSG00000157881.18	202	490	280	240	265	407
ENSG00000157884.12	3	1	0	1	0	1
ENSG00000157890.21	202	84	314	133	109	132
ENSG00000157895.13	222	298	280	277	280	325
ENSG00000157911.13	226	385	257	222	218	279
ENSG00000157916.22	1375	1955	1823	1224	1164	1668
ENSG00000157927.19	159	229	179	218	190	320
ENSG00000157933.13	1160	1285	1878	1703	2065	2372
ENSG00000157954.17	993	1802	1383	901	1079	1265
ENSG00000157965.13	0	0	0	0	0	0
ENSG00000157978.15	575	1031	864	704	737	1114
ENSG00000157985.21	1239	1536	1975	1405	1731	2241
ENSG00000157992.14	158	237	175	164	169	169
ENSG00000157999.6	65	62	116	50	43	57
ENSG00000158006.16	352	565	541	307	364	495
ENSG00000158008.12	88	245	195	59	125	77
ENSG00000158014.17	3	26	17	10	18	18
ENSG00000158019.23	1040	795	1668	728	881	1219
ENSG00000158022.7	1	7	6	3	5	20
ENSG00000158023.12	214	207	222	283	169	203
ENSG00000158042.11	580	972	676	469	547	712
ENSG00000158050.8	43	72	105	116	27	32
ENSG00000158055.18	22	32	28	35	42	57
ENSG00000158062.23	271	424	420	375	454	944
ENSG00000158077.7	27	12	28	16	14	21
ENSG00000158079.17	499	541	657	429	375	420
ENSG00000158089.17	41	69	100	52	32	66
ENSG00000158092.9	1147	1020	1469	777	937	694
ENSG00000158104.13	5	16	25	8	10	21
ENSG00000158106.17	342	798	602	308	511	563
ENSG00000158109.17	810	897	1072	734	812	920
ENSG00000158113.15	19	41	31	11	21	38
ENSG00000158122.14	334	528	434	335	313	377
ENSG00000158125.12	234	690	275	188	403	70
ENSG00000158156.10	144	311	170	136	220	182
