#KEY	featureCounts on dataset 100 and 121: Counts_2	featureCounts on dataset 100 and 118: Counts_2	featureCounts on dataset 100 and 115: Counts_2	featureCounts on dataset 100 and 109: Counts_2	featureCounts on dataset 100 and 112: Counts_2	featureCounts on dataset 100 and 106: Counts_2
ENSG00000006118.16	387	1646	752	295	595	557
ENSG00000006125.20	3458	3401	5075	2888	3877	4403
ENSG00000006128.14	34	94	28	20	36	16
ENSG00000006194.13	1086	1542	1404	922	1025	1678
ENSG00000006210.8	2382	1820	2117	3630	2073	2056
ENSG00000006282.24	1033	2493	1628	973	1255	1627
ENSG00000006283.18	269	1063	632	192	526	663
ENSG00000006327.16	187	282	248	393	211	232
ENSG00000006377.11	1	3	5	4	7	7
ENSG00000006432.18	337	433	452	314	458	858
ENSG00000006451.10	760	765	1215	539	668	667
ENSG00000006453.16	375	529	674	452	577	944
ENSG00000006459.13	1590	1237	2596	821	1300	1253
ENSG00000006468.17	836	1298	1381	408	978	801
ENSG00000006530.20	535	507	664	401	434	560
ENSG00000006534.19	121	194	157	116	123	185
ENSG00000006555.13	297	328	328	298	299	437
ENSG00000006576.19	609	735	1228	323	566	398
ENSG00000006606.10	6	3	4	3	5	0
ENSG00000006607.16	700	865	993	669	773	1189
ENSG00000006611.19	2	69	20	24	3	6
ENSG00000006625.20	221	411	208	134	230	176
ENSG00000006634.10	265	317	329	156	258	193
ENSG00000006638.15	20	92	39	20	44	47
ENSG00000006652.16	384	346	409	325	190	204
ENSG00000006659.14	0	0	0	0	0	0
ENSG00000006695.14	283	310	346	288	303	338
ENSG00000006704.13	308	566	499	326	537	767
ENSG00000006712.17	562	1014	695	605	930	1405
ENSG00000006715.18	2556	3015	3491	1445	1956	2152
ENSG00000006740.20	145	222	234	201	186	311
ENSG00000006744.21	1142	1747	1484	1227	1164	1620
ENSG00000006747.17	72	65	132	35	88	41
ENSG00000006756.18	1776	3598	2589	1597	2195	3772
ENSG00000006757.14	445	659	504	265	423	417
ENSG00000006788.15	94	143	257	134	95	178
ENSG00000006831.12	1475	1413	1591	1302	1311	1475
ENSG00000006837.13	76	101	111	35	80	43
ENSG00000007001.16	247	87	185	78	159	83
ENSG00000007038.13	36	25	68	7	1	99
ENSG00000007047.18	317	564	606	435	560	708
ENSG00000007062.14	3723	2187	2502	2580	1376	978
ENSG00000007080.13	206	347	226	238	368	430
ENSG00000007129.20	16	17	20	12	15	10
ENSG00000007168.17	3118	3895	4281	2665	3004	2924
ENSG00000007171.21	22	45	13	35	24	33
ENSG00000007174.19	59	73	41	50	56	45
ENSG00000007202.18	3415	4387	4885	3518	4003	5349
ENSG00000007216.18	307	214	295	393	261	98
ENSG00000007237.21	2718	3556	3435	1284	3163	2660
ENSG00000007255.12	150	316	132	130	152	148
ENSG00000007264.17	78	108	88	114	93	37
ENSG00000007306.17	0	1	0	0	1	7
ENSG00000007312.16	53	121	74	28	42	33
ENSG00000007314.12	122	78	129	388	115	69
ENSG00000007341.21	768	742	1127	576	811	861
ENSG00000007350.18	2	4	7	1	5	6
ENSG00000007372.26	2	2	5	2	3	5
ENSG00000007376.10	250	487	287	245	276	283
ENSG00000007384.17	511	948	648	572	609	808
ENSG00000007392.19	1477	1894	1878	904	1140	1765
ENSG00000007402.14	214	371	277	144	343	399
ENSG00000007516.17	299	433	211	391	276	270
ENSG00000007520.6	178	389	219	195	224	268
ENSG00000007541.19	311	703	510	366	395	492
ENSG00000007545.17	448	561	696	438	493	839
ENSG00000007866.23	611	1002	840	814	886	1444
ENSG00000007908.16	28	162	149	40	28	104
ENSG00000007923.19	523	724	784	608	662	952
ENSG00000007933.15	219	180	484	263	214	230
ENSG00000007944.17	1517	2167	2059	1217	1142	1553
ENSG00000007952.20	4	1	5	0	0	0
ENSG00000007968.9	15	44	25	49	28	15
ENSG00000008018.11	1057	1780	1369	873	791	853
ENSG00000008056.16	11	6	13	13	20	34
ENSG00000008083.16	890	1374	1605	780	1233	1637
ENSG00000008086.14	861	1057	1338	700	1134	1165
ENSG00000008118.12	19	30	38	33	19	40
ENSG00000008128.25	11	18	32	32	16	38
ENSG00000008130.17	875	1118	1075	817	815	1035
ENSG00000008196.14	263	703	943	296	842	1959
ENSG00000008197.5	0	0	0	0	0	0
ENSG00000008226.22	144	164	206	176	191	295
ENSG00000008256.19	430	755	615	617	770	854
ENSG00000008277.17	724	873	970	532	677	598
ENSG00000008282.12	1087	1151	1418	698	707	548
ENSG00000008283.18	974	1680	1055	815	867	1077
ENSG00000008294.24	3974	5223	6092	2714	3790	3690
ENSG00000008300.17	68	202	133	111	114	101
ENSG00000008311.18	2045	2591	2999	2085	2083	2461
ENSG00000008323.18	225	329	358	374	327	395
ENSG00000008324.14	151	181	198	79	91	77
ENSG00000008382.18	115	252	174	119	163	215
ENSG00000008394.15	1713	972	972	1189	2034	897
ENSG00000008405.14	340	487	625	325	397	501
ENSG00000008438.6	14	25	28	25	9	35
ENSG00000008441.20	3173	4026	3931	3744	6634	6377
ENSG00000008513.19	1332	1806	1811	1298	1671	2100
ENSG00000008516.21	59	122	119	66	78	134
ENSG00000008517.21	157	264	302	164	188	363
ENSG00000008710.20	2978	5046	3487	3964	3692	4285
ENSG00000008735.16	88	211	100	96	142	197
ENSG00000008838.23	1055	1364	1208	1148	1123	1390
ENSG00000008853.20	308	502	409	356	351	440
ENSG00000008869.14	2526	2750	3324	1743	2042	2611
ENSG00000008952.19	2815	2585	3062	1485	2271	1860
ENSG00000008988.13	19153	29991	19057	11861	12208	8786
ENSG00000009307.19	13265	16523	16514	9623	12627	11082
ENSG00000009335.21	2164	2336	2921	1978	1990	2630
ENSG00000009413.18	3574	2725	5342	2110	2932	2349
ENSG00000009694.15	529	310	813	231	476	532
ENSG00000009709.15	0	0	1	0	0	8
ENSG00000009724.20	494	330	556	356	453	652
ENSG00000009765.17	12	7	4	4	22	23
ENSG00000009780.18	391	529	485	402	365	332
ENSG00000009790.17	122	96	176	134	169	127
ENSG00000009830.15	530	759	688	542	520	715
ENSG00000009844.18	831	864	1139	454	662	604
ENSG00000009950.18	91	18	21	276	189	122
ENSG00000009954.12	2309	2828	3492	2360	3698	5237
ENSG00000010017.15	1188	1446	1750	824	1238	1565
ENSG00000010030.15	19	22	46	30	15	47
ENSG00000010072.18	372	479	607	252	302	330
ENSG00000010165.22	528	684	691	473	533	675
ENSG00000010219.15	218	346	302	214	293	411
ENSG00000010244.21	5979	5696	7955	4056	4530	5368
ENSG00000010256.14	1270	2434	1415	1257	1209	1385
ENSG00000010270.16	462	735	682	364	468	565
ENSG00000010278.17	1625	3348	1712	1536	1398	1601
ENSG00000010282.17	1	3	6	1	4	7
ENSG00000010292.15	670	1042	1067	590	847	965
ENSG00000010295.22	331	470	429	312	385	482
ENSG00000010310.11	55	81	54	58	57	85
ENSG00000010318.24	292	382	452	255	379	657
ENSG00000010319.9	1243	1147	1171	1083	1286	1372
ENSG00000010322.18	3551	6630	5257	3471	4095	5958
ENSG00000010327.12	4104	4397	4611	2051	3510	3188
ENSG00000010361.16	261	628	328	248	264	371
ENSG00000010379.18	6	5	14	6	5	6
ENSG00000010404.20	725	752	885	779	1084	1619
ENSG00000010438.17	11	11	4	0	8	11
ENSG00000010539.14	195	230	214	138	128	199
ENSG00000010610.12	417	469	925	301	528	489
ENSG00000010626.17	172	238	211	147	179	338
ENSG00000010671.20	197	198	301	133	210	148
ENSG00000010704.21	360	604	473	252	367	433
ENSG00000010803.20	1561	1351	2088	1637	1668	1985
ENSG00000010810.20	966	1073	1531	727	1206	1444
ENSG00000010818.13	2020	1616	2642	1868	2706	3182
ENSG00000010932.18	835	1963	1718	450	670	561
ENSG00000011007.15	999	998	1271	970	1101	1592
ENSG00000011009.14	367	660	425	329	382	539
ENSG00000011021.25	673	743	1035	851	919	1139
ENSG00000011028.15	3531	7269	5238	2079	4805	4649
ENSG00000011052.21	0	0	0	0	0	0
ENSG00000011083.10	4	12	20	3	7	6
ENSG00000011105.16	851	1974	1276	613	1238	1479
ENSG00000011114.17	225	347	485	294	378	521
ENSG00000011132.14	242	526	342	266	281	382
ENSG00000011143.21	307	479	431	225	254	358
ENSG00000011198.12	1153	960	1296	771	701	586
ENSG00000011201.14	704	937	1052	494	844	1017
